Contrôle;;;;;Evolution;;;;;;;Animal;;;;;;Reproduction;;;;
Lait;Leuco;Ma;TB;TP;%Var;Evol Leuco;Leuco;SDI;Ma;Evol TP;TP;N° National;Nom;Trav;Race;La;Ctr;Date ins.;Taureau;V-I1;Rg;Tar.
09,3;56;;27,7;22,1;10;;46;S;;;;FR5381249411  ;PAPAYE;9411;39;4;4;19/10/25;UCELLO;130;2;03/06/26
13,8;55;;36,1;27,9;;;;;;;;FR5381249413  ;PADAWANE;9413;39;4;1;;;;;
10,8;908;;29,9;24,6;-4;;59;D;1;;;FR5381249415  ;RAINETTE;9415;39;3;4;25/06/25;SIROCCO;29;1;07/02/26
11,3;31;;40,2;29,5;-4;;235;S;;;28,4;FR5381249419  ;ROXANE;9419;39;4;2;;IA possible;;;
09,5;107;;27,9;24,7;;;36;S;;;;FR5381249427  ;ROBUSTA;9427;39;3;5;14/10/25;UCELLO;210;1;29/05/26
10,0;142;;33,5;29,0;;;;;;;;FR5381249432  ;RAPIDE;9432;39;5;1;;;;;
06,2;91;;36,7;28,7;-17;;114;S;;;;FR5381249435  ;RHUBARBE;9435;39;3;4;02/08/25;SIROCCO;28;1;17/03/26
08,0;85;;34,1;29,2;-9;;49;S;;;;FR5381249438  ;REGION;9438;39;3;4;28/08/25;SIROCCO;59;2;12/04/26
08,9;53;;32,9;25,1;-10;;75;S;;;;FR5381249447  ;RAVIGOTE;9447;39;3;4;07/10/25;UCELLO;137;1;22/05/26
12,6;32;;37,9;31,0;-10;;26;S;;;29,3;FR5381249448  ;RAMETTE;9448;39;4;2;08/02/26;U40;73;1;23/09/26
T;;;;;;;;S;;;;FR5381249449  ;RUTABAGA;9449;39;3;;07/10/25;UCELLO;130;1;
09,5;56;;35,1;25,7;9;;46;S;;;;FR5381249460  ;RADJAH;9460;39;3;4;21/10/25;UCELLO;30;3;05/06/26
09,2;364;;32,2;24,4;-10;;63;D;;;;FR5381249462  ;RIVIERE;9462;39;3;4;19/08/25;SIROCCO;28;2;03/04/26
T;;;;;;;;D;1;;;FR5381249464  ;ROQUETTE;9464;39;3;;18/06/25;SIROCCO;22;1;
08,8;152;;33,7;28,7;;;;;;;;FR5381249473  ;RICOCHETTE;9473;39;3;1;;;;;
06,0;155;;37,9;31,2;-15;;108;S;;;;FR5381249480  ;RATOMA;9480;39;3;4;;A inséminer;;;
10,3;25;;35,7;28,2;3;;127;S;;;;FR5381249498  ;REVEILLONE;9498;39;3;4;10/07/25;SIROCCO;75;1;22/02/26
10,5;55;;26,9;26,9;6;;30;S;;;;FR5381249504  ;SIDOINE;9504;39;3;4;13/11/25;UCELLO;177;1;28/06/26
09,1;82;;29,5;22,0;7;;33;S;;;;FR5381249509  ;SOLSTICE;9509;39;3;4;07/10/25;UCELLO;93;1;22/05/26
11,0;45;;32,6;23,5;;;;;;;;FR5381249511  ;SINCERE;9511;39;3;2;;;;;
11,7;21;;29,9;24,7;-5;;22;S;;;27,4;FR5381249517  ;SUPREME;9517;39;3;2;22/12/25;U40;16;1;06/08/26
17,1;111;;37,7;30,1;;;;;;;;FR5381249529  ;SOLUBLE;9529;39;3;1;;;;;
06,7;53;;31,8;28,9;-8;;139;S;;;;FR5381249530  ;;9530;39;2;4;15/06/25;SIROCCO;30;1;28/01/26
08,9;38;;38,0;28,8;-3;;56;S;;;;FR5381249531  ;;9531;39;2;4;;A inséminer;;;
08,0;59;;29,4;24,1;-11;;34;S;;;;FR5381249533  ;SUBLIME;9533;39;2;4;10/10/25;UCELLO;32;2;25/05/26
11,8;56;;40,0;28,9;;;;;;;;FR5381249534  ;SOUVERAINE;9534;39;3;1;;;;;
TFV;;;;;;;;;;;;FR5381249537  ;SATURNE;9537;39;3;;;;;;
06,2;163;;35,6;32,7;-1;;44;S;;;43,2;FR5381249585  ;SUCRINE;9585;39;2;2;;;;;
06,3;92;;40,0;30,3;4;;169;S;;;41,0;FR5381249593  ;TULIPE;9593;39;2;2;04/02/26;U40;105;1;19/09/26
06,2;148;;36,2;30,8;-1;;106;S;;;38,5;FR5381249603  ;THOUERIS;9603;39;2;2;;IA déconseillée;;;
06,2;161;;41,1;31,5;-6;;53;S;;;37,2;FR5381249604  ;TOPAZE;9604;39;2;2;;IA déconseillée;;;
03,3;95;;41,0;29,4;-25;;46;S;;;;FR5381249610  ;TAHITI;9610;39;1;5;;A inséminer;;;
04,2;287;;40,1;32,8;4;;183;D;;;;FR5381249612  ;TISANE;9612;39;1;6;;A inséminer;;;
07,5;173;;37,9;29,7;21;;99;D;;;;FR5381249613  ;TITANE;9613;39;1;5;18/10/25;UCELLO;90;3;02/06/26
06,8;82;;33,8;28,6;-6;;98;S;;;;FR5381249620  ;TRUFFE;9620;39;1;4;;A inséminer;;;
08,9;60;;35,9;26,7;4;;93;S;1;;;FR5381249631  ;TANZANIE;9631;39;1;3;31/10/25;UCELLO;45;1;15/06/26
05,7;;;NA;NA;-3;;42;S;;;;FR5381249638  ;TIJUANA;9638;39;1;3;14/10/25;UCELLO;56;1;29/05/26
08,7;63;;37,2;26,1;9;;42;S;;;;FR5381249639  ;TARATATA;9639;39;1;3;10/02/26;U40;163;1;25/09/26
06,1;131;;39,0;27,8;-9;;131;S;;;;FR5381249641  ;TREFLE;9641;39;1;3;07/10/25;UCELLO;43;1;22/05/26
VNC;;;;;;;;;;;;FR5381249667  ;TEMERAIRE;9667;39;1;1;;;;;
05,4;151;;40,9;26,4;3;;39;S;;;;FR5381249671  ;TOUCANA;9671;39;1;3;;A inséminer;;;
10,0;890;;45,9;27,2;;;;D;;;;FR5381249677  ;TAGADA;9677;35;1;1;;;;;
09,7;666;;49,4;28,7;;;;D;;;;FR5381249682  ;UTOPIA;9682;39;1;1;;;;;
FV;;;;;;;;;;;;FR5381249685  ;ULTRA;9685;39;1;;;;;;
12,1;57;;35,8;25,3;;;;;;;;FR5381249694  ;URANUS;9694;39;1;1;;;;;
09,4;72;;36,3;24,8;;;;;;;;FR5381249696  ;URAEUS;9696;39;1;1;;;;;
VNC;;;;;;;;;;;;FR5381249700  ;UPA UPA;9700;39;1;1;;;;;
11,3;40;;51,1;29,6;;;;;;;;FR5381249714  ;USOPPA;9714;39;1;1;;;;;
VNC;;;;;;;;;;;;FR5381249734  ;URE;9734;39;1;1;;;;;
