Animal;;;;Lactation;;Contrôles;;;;;;;;;;;
Trav;Nom;Race;Index;N°;Début;22/04/24;11/06/24;24/07/24;26/09/24;30/10/24;28/11/24;28/01/25;28/04/25;01/08/25;09/10/25;06/01/26;04/03/26
9447;RAVIGOTE;39;;3;23/05/25;12,8;14,2;12,4;06,7;07,3;04,3;04,7;;15,2;13,4;11,0;08,9
9448;RAMETTE;39;;4;27/11/25;;;;;05,0;10,2;09,0;16,1;11,1;09,1;15,4;12,6
9449;RUTABAGA;39;;3;30/05/25;06,7;18,5;18,3;10,2;06,1;06,2;04,8;;11,4;13,4;07,2;
9460;RADJAH;39;;3;27/05/25;12,8;14,8;12,7;09,2;09,6;06,9;06,0;;14,9;14,7;08,1;09,5
9462;RIVIERE;39;;3;20/05/25;11,2;11,8;11,7;08,3;09,6;06,3;04,7;;13,6;16,0;11,3;09,2
9464;ROQUETTE;39;;3;27/05/25;14,8;18,1;15,2;11,0;14,5;06,2;04,6;;11,7;17,0;07,8;
9473;RICOCHETTE;39;;3;31/12/25;;;;08,1;10,4;05,0;06,1;12,7;07,2;05,6;;08,8
9480;RATOMA;39;;3;20/05/25;;;08,6;10,1;10,4;06,8;04,7;;12,3;09,6;08,4;06,0
9498;REVEILLONE;39;;3;26/04/25;;;15,8;13,2;11,8;08,9;08,0;;10,7;12,9;09,7;10,3
9504;SIDOINE;39;;3;20/05/25;;;19,3;12,7;11,6;05,0;06,7;;11,7;13,8;09,4;10,5
9509;SOLSTICE;39;;3;06/07/25;07,0;09,1;;;;;;;13,8;17,1;08,0;09,1
9511;SINCERE;39;;3;09/12/25;;;;11,2;11,7;06,8;06,5;09,9;05,6;;;11,0
9517;SUPREME;39;;3;06/12/25;;;;;;;08,7;13,4;08,1;;12,8;11,7
9529;SOLUBLE;39;;3;13/02/26;;;;;;;;24,2;09,6;07,4;;17,1
9530;;39;;2;16/05/25;12,8;14,5;09,1;10,1;09,4;05,0;04,5;;13,6;12,8;07,8;06,7
9531;;39;;2;03/06/25;11,5;14,1;17,7;09,0;09,1;06,7;05,1;;13,1;13,1;09,4;08,9
9533;SUBLIME;39;;2;27/05/25;11,5;14,1;15,0;09,5;10,4;07,1;04,8;;14,6;13,8;10,0;08,0
9534;SOUVERAINE;39;;3;11/01/26;;;;;;;10,1;13,6;06,2;04,4;;11,8
9537;SATURNE;39;;3;03/03/26;;;;;;;;19,1;12,1;11,9;06,0;
9585;SUCRINE;39;;2;12/11/25;;;;;;11,6;10,2;14,0;09,3;13,1;06,3;06,2
9593;TULIPE;39;;2;22/10/25;;;;;;05,3;05,4;12,2;07,4;11,1;05,9;06,3
9603;THOUERIS;39;;2;12/11/25;;;;;;11,9;08,2;12,1;04,6;07,2;06,3;06,2
9604;TOPAZE;39;;2;19/11/25;;;;;;15,5;07,0;09,8;09,0;10,8;07,0;06,2
9610;TAHITI;39;;1;12/04/25;;;;;;;;;09,6;10,6;06,2;03,3
9612;TISANE;39;;1;26/11/24;;;;;;;04,8;10,1;06,8;06,7;03,9;04,2
9613;TITANE;39;;1;14/03/25;;;;;;;;21,2;13,2;11,6;05,4;07,5
9620;TRUFFE;39;;1;09/05/25;;;;;;;;;10,2;12,4;07,7;06,8
9631;TANZANIE;39;;1;16/09/25;;;;;;;;;;16,1;08,3;08,9
9638;TIJUANA;39;;1;19/08/25;;;;;;;;;;12,1;06,1;05,7
9639;TARATATA;39;;1;31/08/25;;;;;;;;;;13,0;07,4;08,7
9641;TREFLE;39;;1;25/08/25;;;;;;;;;;13,0;07,4;06,1
9667;TEMERAIRE;39;;1;24/02/26;;;;;;;;;;;;
9671;TOUCANA;39;;1;29/08/25;;;;;;;;;;15,7;05,1;05,4
9677;TAGADA;35;;1;08/02/26;;;;;;;;;;;;10,0
9682;UTOPIA;39;;1;17/02/26;;;;;;;;;;;;09,7
9685;ULTRA;39;;1;28/02/26;;;;;;;;;;;;
9694;URANUS;39;;1;10/01/26;;;;;;;;;;;;12,1
9696;URAEUS;39;;1;29/01/26;;;;;;;;;;;;09,4
9700;UPA UPA;39;;1;24/02/26;;;;;;;;;;;;
9714;USOPPA;39;;1;16/02/26;;;;;;;;;;;;11,3
9734;URE;39;;1;24/02/26;;;;;;;;;;;;
